Qualitative body size,https://www.marinespecies.org/traits/wiki/Traits:QualitativeBodySize
Macrobiota [2.0 - 200 mm],https://www.marinespecies.org/traits/wiki/Traits:Macrobiota
Megabiota [&gt],https://www.marinespecies.org/traits/wiki/Traits:Megabiota
Meiobiota [0.2 - 2.0 mm],https://www.marinespecies.org/traits/wiki/Traits:Meiobiota
Microbiota [&lt],https://www.marinespecies.org/traits/wiki/Traits:Microbiota
Quantitative body size,https://www.marinespecies.org/traits/wiki/Traits:QuantitativeBodySize
Body length,https://www.marinespecies.org/traits/wiki/Traits:Bodylength
Taxon specific body size,https://www.marinespecies.org/traits/wiki/Traits:TaxonSpecificBodySize
Diameter,https://www.marinespecies.org/traits/wiki/Traits:Diameter
Taxon specific body size: Fish,https://www.marinespecies.org/traits/wiki/Traits:TaxonSpecificBodySizeFish
Fork length (FL),https://www.marinespecies.org/traits/wiki/Traits:ForkLength
Standard length (SL),https://www.marinespecies.org/traits/wiki/Traits:StandardLength
Total length (TL),https://www.marinespecies.org/traits/wiki/Traits:TotalLength
Width of disc (WD),https://www.marinespecies.org/traits/wiki/Traits:WidthOfDisc
Taxon specific body size: Macroalgae,https://www.marinespecies.org/traits/wiki/Traits:TaxonSpecificBodySizeMacroAlgae
Width,https://www.marinespecies.org/traits/wiki/Traits:Width
Wingspan,https://www.marinespecies.org/traits/wiki/Traits:Wingspan
